Tên Sản Phẩm,Total
1 EM7600 Đầm Đuôi Cá Hoa Cổ V Đắp L,5
1 A2078 Áo Peppum Đen Sát Nách L,5
1 EM9479 Đầm Suông A Kem Vân Đen M,5
1 A9502 Áo Sơ Mi Hoa Xanh Dây Nơ Cổ M,5
1 Q2078 Quần Ống Suông Đen XL,5
1 EM9344 Đầm Xoè Xanh LVP L,5
1 EM7222 Jum Hoa Quần Dài Cổ Vuông L,5
1 EM7545 Đầm Xoè Ren Hồng L,5
1 EM7447 Đầm xoè LVP Tím M,5
1 EM7301 Đầm Xoè Cổ Lệch L,5
1 EM7425 Đầm Xoè Lvp Nâu L,5
1 EM9386 Đầm Suông Vàng Thêu Hoa L,5
1 EM9306 Đầm Xoè Hoa Cổ Tròn L,5
1 EM7371 Đầm Xoè A Phối Nút Bọc XL,5
1 EM7161 Đầm Xoè Đỏ Nhún Cúp Ngực M,5
1 EM2056 Đầm Xoè Bèo Cổ Loang Tím M,5
1 EM7216 Đầm Xoè Xanh Cổ Cách Điệu L,5
1 EM7113 Đầm Body A Đỏ Kết Hạt Cổ L,5
1 EM7394 Sườn Xám Đen LVP Ánh Kim XL,5
1 V7591 Chân Váy Đen Ren L,5
1 EM2090 Đầm Body Đỏ Lệch Vai XL,5
1 EM9496 Đầm Xoè Hồng Hoa Nhí XL,5
1 EM7643 Đầm Dạ Hội Hồng Phối Lưới L,5
1 A9554 Áo Hồng Ren L,5
1 EM9362 Đầm Xoè Xanh Vai Choàng M,5
1 EM9396 Đầm Xoè Xanh Cổ Vịt Đậm XL,5
1 EM7303 Đầm Suông Cổ Tròn M,5
1 A9502 Áo Sơ Mi Hoa Xanh Dây Nơ Cổ L,5
1 EM7135 Jum Dài Đũi Cổ Tròn L,5
1 EM7367 Đầm Xoè LVP Hồng L,5
1 EM7609 Đầm Xoè Linen Xanh M,5
1 EM7271 Đầm Xoè Cổ Tròn L,5
1 EM7078 Đầm Xoè Hoa Nền Đen L,5
1 EM7156 Đầm Xoè Xanh Đen Phối Ren S,5
1 EM9318 Đầm Xoè Cổ Sơ Mi HT Loang XXL,5
1 EM7451 Đầm Body Be Vai Choàng M,5
1 EM7377 Đầm Xoè Hoa Xanh L,5
1 A9470 Áo Chấm Bi Cổ Lọ XL,5
1 EM7420 Đầm Xoè Midi LVP Xanh Đen L,5
1 EM9383 Đầm Suông Kem Phi CC L,5
1 EM7443 Đầm Suông A HT Hoa M,5
1 EM7507 Đầm Xoè Taffta Cổ Danton XL,5
1 EM7035 Đầm Xoè Phối L,5
1 EM2056 Đầm Xoè Bèo Cổ Loang Tím L,5
1 EM9579 Đầm Suông Đen Phi cc XXL,5
1 EM7437 Đầm Xoè Đỏ Chiffon XL,5
1 EM7467 Đầm Xoè Hoa Đỏ L,5
1 EM7423 Đầm Xoè Lvp Hồng Đất XL,5
1 EM9433 Đầm Xoè Gấm Vân Ht Hoa Tím M,5
1 A2078 Áo Peppum Đen Sát Nách XL,5
1 EM7336 Đâm Xoè Hoa Cam Cổ V XL,5
1 A7569 Áo xanh Pastel Cài Nút M,5
1 EM7046 Đầm Body Đỏ Vai Kết Nút S,5
1 V9470 Chân Váy Kem Chấm Bi L,5
1 EM7395 Đầm Xoè Lvp Ánh Kim L,5
1 EM7092 Đâm Xoè Hoa Tím XL,5
1 EM7511 Đầm Body A Vai Choàng Kết Hoa Vải XXL,5
1 EM7466 Đầm Xoè Trắng Ren L,5
1 Q7093 Quần Đen Ống Loe XL,5
1 EM7610 Đầm xoè Đỏ Đô Cổ V XL,5
1 EM2056 Đầm Xoè Bèo Cổ Loang Tím XL,5
1 EM9503 Đầm Suông Ôm LVP L,5
1 Q2037 Quần Suông Nâu L,5
1 EM9408 Đầm Xoè Maxi Hoa Tím L,5
1 EM9319 Đầm Xoè Chấm Bi Đen XL,5
1 A7627 Áo Dài Đỏ Tay Loe XL,5
1 EM7594 Đầm Suông A HT Lá Xanh L,5
1 A7587 Áo Taffta Kem Nơ Lưng XL,5
1 EM7625 Đầm Xoè Gấm Xám M,5
1 EM9569 Đầm Xoè Taffta Ngực Khoét Cong Giọt Nước Đỏ M,5
1 EM7371 Đầm Xoè A Phối Nút Bọc L,5
1 EM7091 Đầm Xoè Hoa Nhí Cổ Nhún L,5
1 EM7076 Jump Phối Cổ Sơ Mi M,5
1 EM9433 Đầm Xoè Gấm Vân Ht Hoa Tím L,5
1 EM9345 Đầm Xoè Cổ Lệch Xếp Ply L,5
1 EM9384 Đầm Xoè Nhẹ Cổ Vuông L,5
1 EM7045 Đầm Xoè Midi Tùng Dập Ply L,5
1 EM7076 Jump Phối Cổ Sơ Mi L,5
1 A7057 Áo Vàng Hoa Nhí L,5
1 EM9499 Đầm Suông Hoa Đỏ Đô L,5
1 EM9575 Đầm Suông Hồng Kết Hạt L,5
1 EM7086 Đầm Xoè Hoa Tay Lỡ L,4
1 EM9428 Đầm Xoè Xanh Hoa Nhí L,4
1 V7591 Chân Váy Đen Ren M,4
1 Q7627 Quần Áo Dài Lụa Đen XL,4
1 EM7212 Đầm Maxi Hoa Tím L,4
1 EM9329 Đầm Xoè Hoa LVP L,4
1 EM7437 Đầm Xoè Đỏ Chiffon L,4
1 V7591 Chân Váy Đen Ren XL,4
1 EM9500 Đầm Xoè Hoa Tím Choàng Vai M,4
1 EM7617 Đầm Xoè Hoa Loang L,4
1 EM7295 Đâm Xoè Cổ Thắt Nơ M,4
1 EM7353 Đầm Suông Kết Hạt Cổ Tay Lỡ L,4
1 EM9375 Đầm Body Đuôi Cá Lvp Đen L,4
1 A2093 Áo Đen Peplum Kèm Thắt Lưng L,4
1 EM7341 Đầm Xoè Hoa xanh Cổ Vuông L,4
1 EM7216 Đầm Xoè Xanh Cổ Cách Điệu XL,4
1 EM9292 Đầm Xoè Hoa Cổ V Nơ L,4
1 EM9389 Đầm Xoè Phối Trắng Đen XXL,4
1 EM9561 Đầm Xoè Chấm Bi Phối XL,4
1 EM7225 Đầm Xoè Hoa Nhí Xanh L,4
1 EM7611 Đầm Xoè Hoa Dập Ply XL,4
1 EM9507 Đầm Xoè Chấm Bi Xanh Đen XXL,4
1 EM7466 Đầm Xoè Trắng Ren M,4
1 EM7613 Sườn Xám Đen Hoa L,4
1 EM7580 Đầm Xoè Hoa Vàng Nhún tùng XL,4
1 EM9361 Đầm Xoè Trắng Cổ Tím Xoắn Ngực M,4
1 EM7121 Đâm Xoè Xanh Cổ Bèo L,4
1 EM7539 Đầm Xoè Gấm Trắng XL,4
1 EM2064 Đầm Xoè A Xanh Ply Eo XXL,4
1 Q2078 Quần Ống Suông Đen L,4
1 EM7431 Đầm Xoè Nhung Đỏ M,4
1 EM9604 Đầm Xoè Gấm Đỏ Kết Hoa Eo XL,4
1 EM9439 Đầm Xoè Hoa Nhí Hồng XXL,4
1 TL1 Phụ Kiện Thắt Lưng Hoa Hồng Đen,4
1 V2077 Chân Váy Xoè Dưa Cải XL,4
1 EM7390 Đầm Xoè Đen Phối M,4
1 EM9376 Đầm Suông A Lvp XL,4
1 Q2012 Quần Ống Suông Đen XL,4
1 V2039 Chân Váy Lụa Xanh XL,4
1 EM7124 Đầm Xoè Nâu Cổ V M,4
1 EM7646 Đầm Dạ Hội Xanh Đen M,4
1 EM7031 Đầm Xoè Hồng Cổ Tròn L,4
1 A4012 Áo Xám Phối Túi L,4
1 V7598 Chân Váy Ren Trắng Xếp Ply XL,4
1 EM2026 Đầm Xoè Taffta Đỏ Cổ Danton M,4
1 EM6959 Đầm Xoè Cổ Tròn S XXL,4
1 EM7007 Đầm Body A Cổ Danton L,4
1 EM7620 Đầm Xoè Đen Tafta Xước M,4
1 EM7472 Đầm Xoè Maxi Đen Tay Con L,4
1 EM7613 Sườn Xám Đen Hoa XL,4
1 EM9249 Đầm Xoè Voan Hàn Cổ Tròn L,4
1 EM7635 Đầm Xoè Đỏ Choàng Vai Đính Đá XL,4
1 EM7313 Đầm Xoè Cổ V Nhún Tâm Cổ L,4
1 EM9370 Đầm Body A Hoa Đỏ XL,4
1 EM9436 Đầm Xoè Phối Đen+Xanh XXL,4
1 EM7137 Đâm Body Hoa Đuôi Cá L,4
1 EM7366 Đầm Xoè Hoa Cổ Tròn L,4
1 A7627 Áo Dài Đỏ Tay Loe M,4
1 EM7552 Đầm Xoè Hoa Tím Cổ V L,4
1 EM9435 Đầm Xoè Hoa Nền Đen L,4
1 EM2062 Đầm Xoè Đen Phối Caro L,4
1 AL1 Áo Lót Trắng L,4
1 EM9329 Đầm Xoè Hoa LVP M,4
1 EM2001 Đầm Xoè Đỏ Gấm XL,4
1 A2037 Áo Nâu Sát Nách L,4
1 EM7452 Đầm Xoè Đỏ Kết Hạt Cổ XL,4
1 EM7464 Đầm Xoè Lvp Hồng L,4
1 EM7136 Đầm Maxi Cổ Bèo L,4
1 EM7159 Đầm Body Cổ V L,4
1 EM7240 Jum Phối Cổ Vuông M,4
1 EM9582 Đầm Xoè Maxi Nhún Tầng Nền Đen L,4
1 EM9337 Đầm Xoè LVP L,4
1 EM7111 Sét Áo Quần Caro XL,4
1 EM9304 Đầm Xoè Hồng Ply Cổ L,4
1 EM2129 Đầm Xoè Voan Đen HT Hoa L,4
1 EM7221 Đâm Xoè Áo Dây Choàng Vai L,4
1 V7650 Váy Xoè Đen Bố Linen L,4
1 EM7375 Đầm Xoè Hoa Tím L,4
1 EM7472 Đầm Xoè Maxi Đen Tay Con M,4
1 EM9444 Đầm Xoè Xanh Xếp Ply Eo XL,4
1 EM7120 Đầm Xoè Maxi 2 Dây XL,4
1 EM2058 Đầm Xoè A Đen Ply Eo XXL,4
1 EM9330 Đầm Hoa Cổ Vuông L,4
1 EM9416 Đầm Xoè A Đỏ Kết Hạt Cổ M,4
1 EM9453 Đầm Xoè Hoa Nhí Cổ V M,4
1 A7650 Áo Cổ Tròn Đen Cài Nút L,4
1 EM9333 Đầm Xoè Lụa Vân Vàng L,4
1 EM7411 Đầm Xoè Hoa Tay Lỡ L,4
1 EM7142 Đầm Body Đen Cổ Phối XL,4
1 EM9428 Đầm Xoè Xanh Hoa Nhí XL,4
1 EM7648 Đầm Body Ren Đen XXL,4
1 V4012 Chân Váy Phối Nắp Túi L,4
1 EM7577 Đầm Xoè Hoa Nền Đen Nhún Eo XXL,4
1 A2072 Áo Đỏ Peplum L,4
1 EM7004 Đầm Body Cổ Tròn XXL,4
1 EM9344 Đầm Xoè Xanh LVP M,4
1 EM9386 Đầm Suông Vàng Thêu Hoa XL,4
1 EM7226 Đầm Xoè Hoa Nhí Cổ V XL,4
1 EM9525 Đầm Suông Cổ Tròn S,4
1 EM2027 Đầm Xoè Loang Gold+Đen L,4
1 EM7524 Đầm Xoè Xanh Hoa Vải L,4
1 EM2080 Đầm dạ Hội kem Phối XL,4
1 EM7346 Đầm Xoè Hoa Cổ V L,4
1 EM7634 Áo Dài Đỏ Kết Hạt +Quần Đen L,4
1 EM9529 Đầm Suông Vàng Taffta M,4
1 EM7447 Đầm xoè LVP Tím XL,4
1 EM7282 Đầm Xoè Be Cổ Tròn XL,4
1 EM7351 Đầm Xoè Peplum Hồng L,4
1 EM7080 Đầm Xoè Cổ Lục Giác Nhún Ngực L,4
1 EM7303 Đầm Suông Cổ Tròn XXL,4
1 V7583 Chân Váy Ren Đen Xếp Ply L,4
1 EM7432 Đầm Xoè Đỏ Tay Lỡ XL,4
1 EM7620 Đầm Xoè Đen Tafta Xước XXL,4
1 EM9498 Đầm Xoè Phối Bèo Cổ Kết Hoa L,4
1 EM7285 Đầm Xoè Hoa Cổ Tròn XL,4
1 EM7433 Đầm Body Gấm Xám XL,4
1 EM7071 Sét Áo Bi Chân Váy L,4
1 EM7310 Đầm Xoè Hoa Tím S,4
1 EM7130 Đầm Body Xanh Vai Phối M,4
1 EM9382 Đầm Suông Hồng Sen S,4
1 EM7409 Đầm Xoè Hoa Xanh LVP L,4
1 EM9524 Đầm Suông Xanh Xếp ply Cổ L,4
1 Q2074 Quần Suông Be XL,4
1 EM9344 Đầm Xoè Xanh LVP XL,4
1 EM7655 Đầm Xoè A Gấm HT Hoa XXL,4
1 EM7610 Đầm xoè Đỏ Đô Cổ V L,4
1 EM2092 Đầm Xoè Nâu Organza M,4
1 EM2003 Đầm Xoè Gấm Xanh L,4
1 EM7245 Đầm Xoè A Cổ Đắp L,4
1 EM7425 Đầm Xoè Lvp Nâu XL,4
1 EM7268 Đâm Xoè Vai Choàng L,4
1 EM9371 Đầm Suông Ht Loang XL,4
1 EM7502 Đầm Xoè Cổ V Nhún Ngực L,4
1 EM9466 Đầm Xoè Hoa Nhí Đen L,4
1 EM7412 Đầm Xoè Cổ V Lvp Xanh M,4
1 EM9273 Đầm Xoè Đen Cổ Đắp Hoa Nhí L,4
1 EM9278 Đầm Xoè HT Hồng M,4
1 A2024 Áo Cổ Phối Cài Nút M,4
1 EM7654 Đầm suông Gấm Hoa Đỏ M,4
1 EM7647 Đầm Xoè Đỏ Phối Ren Bẹt Vai M,4
1 EM9334 Đầm Xoè Cổ Vuông L,4
1 EM9362 Đầm Xoè Xanh Vai Choàng XXL,4
1 V2025 Chân Váy Trắng Tơ Chỉ Nổi L,4
1 EM7076 Jump Phối Cổ Sơ Mi XL,4
1 EM9450 Đầm Body Gấm Hoa Tím L,4
1 EM7404 Đầm Xoè Gấm Taffta Vàng M,4
1 EM7407 Đầm Xoè Tay Lỡ LVP Ánh Kim M,4
1 EM2068 Đầm Xoè A Đỏ Bèo Vai XL,4
1 EM7217 Đầm Xoè Midi Đỏ Cổ Tròn L,4
1 EM9612 Đầm Maxi Xoè HT Hoa Hồng L,4
1 EM7112 Đầm Xoè Vàng Tafta XL,4
1 EM7385 Sườn Xám LVP Anh Kim XL,4
1 EM9452 Đầm Xoè Ht Loang Dây Nơ Cổ XL,4
1 EM6959 Đầm Xoè Cổ Tròn S S,4
1 EM2007 Đầm Xoè Phối Đỏ Đen XXL,4
1 EM7284 Đầm Xoè Cổ Cách Điệu M,4
1 EM7190 Đầm Xoè Hồng Cổ Tròn L,4
1 EM7265 Đầm Xoè Hoa Cổ Tròn M,4
1 EM7406 Đầm Xoè Hoa Cổ Tròn M,4
1 EM9390 Đầm SuôngTrắng Kem Thêu Hoa M,4
1 EM7292 Đầm Xoè Hoa Hồng L,4
1 EM7164 Đầm Xoè Hồng Cổ Nơ L,4
1 EM9401 Đầm Suông Tay Kết Hạt Xanh Đen XXL,4
1 EM9479 Đầm Suông A Kem Vân Đen XL,4
1 EM7089 Đầm Xoè A Vàng Nhún Eo L,4
1 EM9467 Đầm Xoè Cổ V Hoa Xanh M,4
1 EM7299 Đầm Xoè Vai Choàng M,4
1 EM7188 Đầm Maxi Xoè Cổ V L,4
1 EM7297 Đầm Xoè Cổ Tròn M,4
1 EM9524 Đầm Suông Xanh Xếp ply Cổ XL,4
1 EM7280 Đầm Xoè Hoa Cổ Tròn XXL,4
1 EM7389 Đầm Xoè LVP Tay Lỡ L,4
1 EM9496 Đầm Xoè Hồng Hoa Nhí M,4
1 A2039 Áo Xanh Lụa Cổ Tròn XL,4
1 EM7168 Jum Quần Dài Phối Ren L,4
1 EM9371 Đầm Suông Ht Loang L,4
1 EM2057 Đầm A Cổ Vuông Phối Nơ L,4
1 EM7086 Đầm Xoè Hoa Tay Lỡ XL,4
1 EM7011 Đầm Xoè Cổ Tròn Tay Lỡ L,4
1 EM7130 Đầm Body Xanh Vai Phối L,4
1 EM7322 Đầm Xoè Hoa Cổ Cách Điệu L,4
1 EM7202 Đầm Xoè Maxi Tím L,4
1 EM9337 Đầm Xoè LVP XL,4
1 EM7102 Đầm Xoè Hồng Cổ Vuông V L,4
1 EM7235 Đầm Xoè Hoa Nhí Cổ Tròn L,4
1 EM7406 Đầm Xoè Hoa Cổ Tròn XL,4
1 A7587 Áo Taffta Kem Nơ Lưng M,4
1 EM9367 Đầm Xoè Hoa Tím L,4
1 EM2143 Đầm Xoè Hoa Hồng XL,4
1 EM9453 Đầm Xoè Hoa Nhí Cổ V L,4
1 A9480 Áo Sơ Mi Hoa Đỏ Dây Nơ Cổ XL,3
1 V7614 Váy Xoè Hoa Hồng XL,3
1 EM7017 Đầm Xoè Lụa Vân Pháp Cổ Tim L,3
1 EM7233 Đầm Xoè Hoa Cổ Tròn L,3
1 V7569 Váy Xoè xanh Pastel XL,3
1 V7583 Chân Váy Ren Đen Xếp Ply M,3
1 EM2084 Đầm Dạ Hội Đỏ Phối Lưới XL,3
1 EM9279 Đầm Xoè Đỏ Tay Lỡ L,3
1 EM9293 Đầm Xoè Hoa Nhí Hồng L,3
1 EM7146 Đầm Xoè Cổ V Tay Lỡ L,3
1 EM7296 Đầm Xoè Hoa Xanh L,3
1 EM7266 Đầm Xoè LVP M,3
1 EM9523 Đầm Xoè Hoa Nhún Eo M,3
1 EM7139 Đâm Body Cổ Kết Hạt XL,3
1 EM7154 Sét Áo Quần Xanh Cổ Danton XL,3
1 EM9327 Đầm Xoè Hoa Nhí L,3
1 A7093 Áo Hoa Cổ Tròn XL,3
1 EM7616 Đầm Body Đuôi Cá Xanh XL,3
1 EM7248 Đầm Body Hoa Cổ Tròn L,3
1 EM7285 Đầm Xoè Hoa Cổ Tròn L,3
1 EM9549 Đầm Xoè Hoa Hồng L,3
1 EM7071 Sét Áo Bi Chân Váy XL,3
1 Q7093 Quần Đen Ống Loe M,3
1 EM9517 Đầm Xoè Hoa Loang Cam XL,3
1 EM7143 Đầm Body Đỏ Cổ V M,3
1 EM7170 Jum Lỡ Sọc Dọc XL,3
1 EM9615 Đầm Xoè Nhún Ngực HT Hoa L,3
1 EM2010 Đầm Xoè Hồng Cổ Vuông L,3
1 EM7119 Đầm Xoè Đỏ Cổ Vuông M,3
1 EM7195 Đầm Xoè Be Cổ Tròn L,3
1 EM9326 Đầm Xoè Hoa LVP L,3
1 EM7646 Đầm Dạ Hội Xanh Đen XXL,3
1 EM7227 Đầm Maxi Hoa 2 Dây L,3
1 AL1 Áo Lót Trắng XL,3
1 ET0032 Đầm Xoè 2 Dây Bèo Vai M,3
1 EM9501 Đầm Xoè Hoa Nâu L,3
1 EM2099 Sét Áo Dài Xanh Mint +Váy L,3
1 EM7094 Đầm Xoè Hoa Cổ V M,3
e gọi khách thì cg 1 thì nghe xong e ms nói e bên viettel post xong tắt máy ngang luôn,3
1 EM7179 Đầm Xoè Cổ V M,3
1 EM7131 Đầm Xoè Cổ Vuông XL,3
1 EM7278 Đầm Body Đen XXL,3
1 EM7550 Đầm Xoè Chấm Bi L,3
1 EM9510 Đầm Xoè Hoa Xếp PLy Eo XL,3
1 EM7340 Đầm Xoè Lvp Đen Hoa L,3
1 EM2062 Đầm Xoè Đen Phối Caro M,3
1 EM7397 Đầm Xoè Hoa Cam L,3
1 EM7467 Đầm Xoè Hoa Đỏ XL,3
1 EM9415 Đầm Suông Chân Hoa Kem L,3
1 EM7380 Sét Áo Dài Lụa Tằm Tím CC L,3
1 V2024 Chân Váy A Đen M,3
1 EM7444 Đầm Xoè LVP Vai Choàng M,3
1 EM9400 Đầm Suông Xanh Vịt Kết Hạt XXL,3
1 EM7110 Jum Quần Dài Xanh Cổ Xẻ V M,3
1 EM7275 Đâm Xoè Đỏ Cổ V L,3
1 EM7365 Đầm Body Hoa Tay Lỡ M,3
1 EM7457 Đầm Xoè Đỏ Nhung M,3
1 EM7320 Đầm Xoè Hoa Cổ Cách Điệu XL,3
1 EM9367 Đầm Xoè Hoa Tím M,3
1 EM7533 Đầm Xoè Vai Choàng Phối Ren XL,3
1 EM7081 Body Đỏ Cổ Vuông XL,3
1 EM7159 Đầm Body Cổ V XL,3
1 EM7266 Đầm Xoè LVP XL,3
1 V9469 Chân Váy Xoè Hoạ Tiết Sơn Thuỷ L,3
1 EM9278 Đầm Xoè HT Hồng XL,3
1 EM7389 Đầm Xoè LVP Tay Lỡ XL,3
1 EM7597 Đầm Xoè Hồng Cổ Vest L,3
1 EM7441 Đầm Xoè Dạ Hội Hồng Tím M,3
1 EM7443 Đầm Suông A HT Hoa XXL,3
1 EM7527 Đầm Xoè Chấm Bi XXL,3
1 EM7431 Đầm Xoè Nhung Đỏ L,3
1 EM2059 Đầm Xoè Xám HT Nơ Đen Nổi L,3
1 EM9278 Đầm Xoè HT Hồng L,3
1 EM9512 Đầm Xoè Hoa Cổ Cách Điệu L,3
1 EM7451 Đầm Body Be Vai Choàng XXL,3
1 EM7108 Đầm Xoè Đen Cổ Vuông XL,3
1 EM7469 Đầm Xoè Hoa Nhí Xanh Đen L,3
1 A2069 Áo Gile Sát Nách Tím Hông L,3
1 EM7201 Đầm Xoè Phối Cổ Tròn L,3
1 EM9444 Đầm Xoè Xanh Xếp Ply Eo M,3
1 EM7553 Đầm Xoè Hoa Xanh Ánh Tím Cổ Tròn XL,3
1 EM2107 Đầm Xoè Xám Cổ Khoét Giọt Nước L,3
1 EM9396 Đầm Xoè Xanh Cổ Vịt Đậm L,3
1 EM9292 Đầm Xoè Hoa Cổ V Nơ M,3
1 EM9395 Đầm Suông Đen Tay Lỡ Kết Hạt M,3
1 EM7147 Đầm Xoè Phối Cổ Vuông L,3
1 EM7190 Đầm Xoè Hồng Cổ Tròn M,3
1 EM7434 Đầm Suông Be Hạt Cổ S,3
1 EM7340 Đầm Xoè Lvp Đen Hoa XL,3
1 EM7246 Đầm Xoè Đô Trước Ply Nổi L,3
1 V2040 Chân Váy Kem Lụa XL,3
1 EM7450 Đầm Xoè Vai Choàng Xanh L,3
1 EM9365 Đầm Suông Gấm Xanh XL,3
1 EM2096 Đầm Body Xanh Lá Kết Cườm XL,3
1 EM7179 Đầm Xoè Cổ V L,3
1 EM9323 Đầm Xoè Đỏ Tay Lỡ L,3
1 A2072 Áo Đỏ Peplum XL,3
1 EM6973 Đầm Suông Cổ Tròn L,3
1 EM9299 Đầm Xoè Hoa Nhí Cổ Xẻ XL,3
1 EM7311 Đầm Suông Hoa Xanh L,3
1 EM7467 Đầm Xoè Hoa Đỏ M,3
1 A7002 Áo Sơ Mi Lụa Xanh L,3
1 Q7127 Quần Dài Form Suông Đen XL,3
1 EM7146 Đầm Xoè Cổ V Tay Lỡ XL,3
1 EM7479 Đầm Suông Canh Hoa XL,3
1 EM7237 Jum Phối Cổ Tròn M,3
1 EM9400 Đầm Suông Xanh Vịt Kết Hạt M,3
1 QT1 Quà Tặng Bình GIữ Nhiệt,3
1 EM9522 Đầm Xoè Hoa Vàng Tay Dài M,3
1 EM2138 Đầm Xoè Loang Cổ V XL,3
1 EM9395 Đầm Suông Đen Tay Lỡ Kết Hạt XXL,3
1 EM2029 Đầm Xoè A Gấm Taffta M,3
1 A2093 Áo Đen Peplum Kèm Thắt Lưng M,3
1 EM7330 Đầm Xoè Hoa Cổ Tròn M,3
1 EM9401 Đầm Suông Tay Kết Hạt Xanh Đen L,3
1 EM2062 Đầm Xoè Đen Phối Caro XL,3
1 EM2058 Đầm Xoè A Đen Ply Eo M,3
1 EM7461 Đầm Body A Nhung Đen M,3
1 EM7148 Đầm Body Cổ Tròn L,3
1 EM7553 Đầm Xoè Hoa Xanh Ánh Tím Cổ Tròn M,3
1 EM7005 Đầm Body Hoa Lụa Kaki L,3
1 EM9297 Đầm Xoè Hoa Nhí Hồng Cổ V Đắp L,3
1 EM7207 Đầm Body A Cổ Tròn M,3
1 EM9324 Đầm Xoè Hoa Tay Lỡ M,3
1 EM6901 Dạ Hội Xanh Cổ Vuông S XL,3
1 EM7194 Đầm Xoè Phối Cổ V L,3
1 EM7131 Đầm Xoè Cổ Vuông M,3
1 EM9340 Đầm Xoè Cổ Tròn L,3
1 EM7458 Đầm Xoè Dập Ply Đỏ L,3
1 V2122 Chân Váy Xoè Đen XL,3
1 EM7340 Đầm Xoè Lvp Đen Hoa M,3
1 EM2008 Đầm Xoè Đỏ Kết Hạt L,3
1 EM2098 Sườn Xám Đỏ Hoa XL,3
1 A2053 Áo Gile Sọc Xanh L,3
1 EM7386 Đầm Suông Xanh Cổ Thuyền XL,3
1 EM7380 Sét Áo Dài Lụa Tằm Tím CC M,3
1 EM7659 Sét Áo Dài Gấm 2 Da Đỏ L,3
1 EM9281 Đầm Xoè Phối Ren M,3
1 EM7458 Đầm Xoè Dập Ply Đỏ XL,3
1 EM7343 Đầm Suông Ply Eo XL,3
1 EM7441 Đầm Xoè Dạ Hội Hồng Tím XXL,3
1 EM7490 Đầm Xoè Hoa Nhí Hồng M,3
1 EM9437 Đầm Xoè Hoa Tím L,3
1 EM9453 Đầm Xoè Hoa Nhí Cổ V XXL,3
1 EM9498 Đầm Xoè Phối Bèo Cổ Kết Hoa XL,3
1 EM6979 Jum Quần Dài Phối XL,3
1 EM7539 Đầm Xoè Gấm Trắng L,3
1 V9476 Chân Váy Dập Ply Đen XXL,3
1 EM7177 Đầm Xoè Đỏ Cổ Lệch Cách Điệu L,3
1 EM7507 Đầm Xoè Taffta Cổ Danton S,3
1 A2077 Áo Peplum Dưa Cải Choàng Vai XL,3
1 EM7617 Đầm Xoè Hoa Loang XL,3
1 EM9311 Đầm Body Hoa Cổ Tròn M,3
1 EM7133 Đầm Xoè Trắng Cổ Vuông M,3
1 A2122 Áo Đen Phối Caro Nhí XL,3
1 EM7400 Đầm Body Cổ Lá LVP Anh Kim XXL,3
1 A9469 Áo Sơ Mi Trắng Cổ Phối M,3
1 EM2009 Đầm Xoè Đỏ Kèm Đai Eo M,3
1 EM2064 Đầm Xoè A Xanh Ply Eo L,3
1 EM7392 Đầm Body Đuôi Cá Xanh XL,3
1 EM7426 Đầm Xoè Phối Cổ Tròn M,3
1 V2016 Chân Váy Da Beo L,3
1 EM2070 Đầm Suông Đen Nơ Cổ M,3
1 Q2078 Quần Ống Suông Đen XXL,3
1 EM7129 Đầm Body Tay Phôi M,3
1 EM7123 Đầm Xoè Hồng Cổ V M,3
1 EM7258 Đầm Xoè Chấm Bi Tím M,3
1 EM2090 Đầm Body Đỏ Lệch Vai L,3
1 V2052 Chân Váy Đen Lụa XL,3
1 EM7352 Đầm Xoè Lụa Nữ Hoàng L,3
1 EM2101 Đầm xoè Gấm Hoa Vàng XXL,3
1 EM7067 Đầm Xoè Xanh Cát Nhung L,3
1 ET0025 Đầm Xoè Be Cổ Bèo M,3
1 EM7376 Đầm Xoè Hoa Cam L,3
1 EM9463 Đầm Xoè Nền Đen Bi Loang Trắng L,3
1 EM9603 Đầm Suông Tafta Đen Kết Hạt L,3
bta đến nói ko nhận,3
1 EM7516 Đầm Xoè Cổ V Xếp Ply Ngực XXL,3
1 EM9569 Đầm Xoè Taffta Ngực Khoét Cong Giọt Nước Đỏ XXL,3
1 AL3 Áo Lót Da M,3
1 EM7209 Đâm Maxi Bẹt Vai XL,3
1 EM7584 Đầm Xoè Vai Choàng Nude L,3
1 EM6929 Đầm Xoè A Đỏ Tay Lỡ S S,3
1 EM7242 Dầm Maxi Tơ Xướt Cổ V XXL,3
1 EM7502 Đầm Xoè Cổ V Nhún Ngực XL,3
1 EM7327 Đầm Xoè Tím Cổ Cách Điệu M,3
1 EM7348 Đầm Xoè Cổ Tròn LVP M,3
1 V2023 Chân Váy A Đen Kết Nút XL,3
1 EM9599 Đầm Xoè Lụa Nhật Nâu Tay Dài XL,3
1 EM7625 Đầm Xoè Gấm Xám XL,3
1 A4001 Áo Đỏ Xẻ V Cổ L,3
1 EM7113 Đầm Body A Đỏ Kết Hạt Cổ XL,3
1 Q7058 Quần Dài Đen XXL,3
1 EM7447 Đầm xoè LVP Tím L,3
1 EM9556 Đầm Xoè Ht Loang Tùng Ply A L,3
1 A2040 Áo Lụa Kem Cổ Tròn S,3
1 EM7636 Ao Dài Xanh Lý Hoa XL,3
1 EM7438 Đầm Xoè Đỏ Cổ Cách Điệu M,3
1 EM7473 Đầm Suông Cổ Tròn Nâu Trà L,3
